emotion,word
joy,खिलखिलाट
joy,रम्य
joy,सुंदर
joy,हसत
joy,सुखद
joy,समाधानी
joy,आनंदाने
joy,उत्सवी
joy,हसतखेळत
joy,आनंदयात्रा
joy,खिलखिल
joy,उत्सव
joy,आनंदित
joy,खुश
joy,मनोहर
joy,आनंदवार्ता
joy,प्रसन्न
joy,सुखदायक
joy,हर्षोल्हास
joy,आनंदोत्सव
joy,उत्साहाने
joy,खुशीत
joy,हर्षित
joy,हर्ष
joy,सुखकर
joy,खुशी
joy,आनंदी
joy,हसतमुख
joy,आनंदघन
joy,सुखी
joy,हसरा
joy,उत्साह
joy,समाधान
joy,उत्साही
joy,आनंदश्री
joy,प्रसन्नचित्त
joy,सुख
joy,आंनदोल्हास
joy,आनंद
joy,आनंदमय
anger,झापलं
anger,कडकडीत
anger,भडकलेला
anger,संताप
anger,रागावली
anger,कडक
anger,तावून
anger,द्वेषपूर्ण
anger,चिडलेला
anger,नापसंती
anger,उफाळला
anger,उग्रता
anger,तिखटपणा
anger,तावातावाने
anger,क्रोधित
anger,रागाने
anger,उपरोध
anger,कर्कश
anger,चिडली
anger,रागाराग
anger,खवळला
anger,संतप्त
anger,सडकन
anger,क्रोध
anger,खवळली
anger,ताशेरे
anger,क्रुद्ध
anger,चिड
anger,उग्र
anger,रागावले
anger,रागावला
anger,कडाडला
anger,राग
anger,खुपसणारा
anger,कडाडली
anger,धारेवर
anger,चिडलेले
anger,तिखट
anger,रोष
sadness,संवेदना
sadness,हतबल
sadness,वेदनादायक
sadness,एकटेपणा
sadness,करुणा
sadness,दु:साह्य
sadness,रडत
sadness,वेदना
sadness,हळहळून
sadness,दुर्बळ
sadness,अश्रू
sadness,दुःख
sadness,करुण
sadness,एकाकीपण
sadness,हताश
sadness,विरक्ती
sadness,निराश
sadness,दुःखद
sadness,निराशा
sadness,वाइट वाटणे
sadness,विरह
sadness,कष्ठ
sadness,विरक्त
sadness,मनस्ताप
sadness,कष्टदायक
sadness,एकाकी
sadness,संवेदनशील
sadness,शोकाकुल
sadness,रडत होता
sadness,खिन्न
sadness,एकटे
sadness,खिन्नता
sadness,शोक
sadness,वैतागलेला
sadness,डोळ्यांत अश्रू
sadness,हृदयद्रावक
sadness,दुखी
sadness,व्यथा
sadness,दु:स्वप्न
sadness,दुःखदायक
sadness,हळहळ
sadness,दुःखी
sadness,दुख
sadness,हताशपणे
sadness,रडली
fear,धमकावणे
fear,आतंक
fear,धास्तावलेला
fear,घाबरवणारा
fear,अस्थिर
fear,भयभीत
fear,असुरक्षित
fear,भयावह
fear,श्वास रोखणारा
fear,घाबरलेला
fear,दहशत
fear,आतंकवाद
fear,घाबरली
fear,थरकाप
fear,भय
fear,धोक्याची
fear,धास्तावले
fear,चिंताग्रस्त
