symbol,count
उ,1726
प,19234
म,22769
ु,10018
ख,3745
्,58197
य,34935
ं,26618
त,41270
र,48795
ी,33477
अ,6767
ज,12075
ि,24252
व,24967
ा,104531
च,17715
े,39982
थ,3090
क,28924
न,27399
फ,1511
झ,1811
ल,28458
ह,22779
ण,12411
आ,10117
ढ,944
ळ,5442
स,26056
ध,6638
.,4069
ए,1807
ड,6801
",",6669
ब,8843
ो,12623
ठ,3731
ग,10292
द,13636
ष,4627
ट,7206
ँ,256
श,9627
ू,8073
घ,2219
?,474
',1165
;,111
-,1210
:,340
इ,1324
ओ,312
भ,4704
ृ,1377
ऱ,670
ई,1478
©,1
ौ,527
ऊ,728
(,1094
),1144
ॲ,81
ॉ,1038
ॅ,492
ऐ,123
ऑ,417
ै,1040
ञ,203
औ,216
"""",1006
छ,417
‘,57
’,53
ः,179
!,18
#,1
%,64
/,61
–,38
ऋ,17
ङ,4
़,12
é,1
[,589
],594
&,3
^,49
|,18
=,3
°,33
+,5
ॆ,1
•,69
ॄ,2
ऍ,1
¶,2
—,2
·,5
ॠ,1
“,7
₹,5
॑,1
●,6
॓,1
*,8
>,1
\,6
”,2
ॊ,1
॥,2
