token,pos
उपमुख्यमंत्री,NOUN
अजित,NOUN
पवार,NOUN
यांचे,NOUN
चिरंजीव,NOUN
पार्थ,NOUN
पवार,NOUN
यांच्या,PP
कंपनीमार्फत,NOUN
झालेल्या,NOUN
जमीन,NOUN
व्यवहार,NOUN
प्रकरणात,NOUN
अनियमितता,NOUN
आढळल्याचं,NOUN
प्रकरण,NOUN
सध्या,NOUN
फारच,NOUN
चर्चेत,NOUN
आहे,NOUN
एकीकडे,PP
या,PART
प्रकरणी,NOUN
पिंपरी,NOUN
चिंचवडमधील,NOUN
बावधन,NOUN
पोलीस,NOUN
ठाण्यात,NOUN
गुन्हा,NOUN
नोंद,NOUN
करण्यात,NOUN
आला,PP
आहे,NOUN
तर,PART
दुसरीकडे,PP
हा,PART
व्यवहार,NOUN
रद्द,NOUN
करण्यात,NOUN
आल्याची,NOUN
माहिती,NOUN
उपमुख्यमंत्री,NOUN
अजित,NOUN
पवार,NOUN
यांनी,NOUN
दिली,VERB
आहे,NOUN
या,PART
प्रकरणावर,PP
राष्ट्रवादी,NOUN
काँग्रेस,NOUN
शरद,NOUN
पवार,NOUN
गटाचे,NOUN
प्रमुख,NOUN
शरद,NOUN
पवार,NOUN
यांनी,NOUN
प्रतिक्रिया,NOUN
दिली,VERB
आहे,NOUN
अजित,NOUN
पवारांना,NOUN
जाणीवपूर्वक,NOUN
घेरण्याचा,NOUN
प्रयत्न,NOUN
केला,PP
जातोय,NOUN
का,PART
या,PART
प्रश्नावर,PP
उत्तर,NOUN
देताना,NOUN
शरद,NOUN
पवार,NOUN
काय,NOUN
म्हणाले,VERB
जाणून,NOUN
घ्या,NOUN
बीबीसीसाठी,PP
कलेक्टिव्ह,NOUN
न्यूजरूमचे,NOUN
प्रकाशन,NOUN
गुन्ह्यात,NOUN
पार्थ,NOUN
पवारांचे,NOUN
नाव,NOUN
का,PART
नाही,NOUN
यासह,NOUN
अनुत्तरीत,NOUN
असलेले,VERB
5,NUM
प्रश्न8,NOUN
नोव्हेंबर,NOUN
2025,NUM
गुन्ह्यात,NOUN
पार्थ,NOUN
पवारांचे,NOUN
नाव,NOUN
का,PART
नाही,NOUN
यासह,NOUN
अनुत्तरीत,NOUN
असलेले,VERB
5,NUM
प्रश्न,NOUN
पार्थ,NOUN
पवार,NOUN
करार,NOUN
रद्द,NOUN
करणार,NOUN
अजित,NOUN
पवारांची,NOUN
माहिती,NOUN
आतापर्यंत,NOUN
काय,NOUN
काय,NOUN
घडलं,NOUN
10,NUM
नोव्हेंबर,NOUN
2025,NUM
पार्थ,NOUN
पवार,NOUN
करार,NOUN
रद्द,NOUN
करणार,NOUN
अजित,NOUN
पवारांची,NOUN
माहिती,NOUN
आतापर्यंत,NOUN
काय,NOUN
काय,NOUN
घडलं,NOUN
अजित,NOUN
पवार,NOUN
IPS,NOUN
वाद,NOUN
इतर,NOUN
खात्याच्या,PP
सरकारी,NOUN
कामात,NOUN
अडथळा,NOUN
आणणं,NOUN
चूकच,NOUN
प्रशासकीय,NOUN
नियम,NOUN
काय,NOUN
सांगतात,VERB
6,NUM
सप्टेंबर,NOUN
2025,NUM
अजित,NOUN
पवार,NOUN
IPS,NOUN
वाद,NOUN
इतर,NOUN
खात्याच्या,PP
सरकारी,NOUN
कामात,NOUN
अडथळा,NOUN
आणणं,NOUN
चूकच,NOUN
प्रशासकीय,NOUN
नियम,NOUN
काय,NOUN
सांगतात,VERB
1,NUM
29व्हीडिओ,NOUN
पुण्यातील,NOUN
नवले,VERB
पुलावर,PP
भीषण,NOUN
अपघात,NOUN
वाहनांना,NOUN
आग,PART
मृतांचा,NOUN
आकडा,NOUN
7,NUM
वर,PART
वेळ,NOUN
1,NUM
2913,NUM
नोव्हेंबर,NOUN
2025,NUM
व्हीडिओ,NOUN
पुण्यातील,NOUN
नवले,VERB
पुलावर,PP
भीषण,NOUN
अपघात,NOUN
वाहनांना,NOUN
आग,PART
मृतांचा,NOUN
आकडा,NOUN
7,NUM
वर,PART
वेळ,NOUN
1,NUM
29,NUM
8,NUM
17व्हीडिओ,NOUN
पुणे,NOUN
पोलिसांवर,PP
मुलींना,NOUN
जातिवाचक,NOUN
