term,score
आहे,0.02630560992421679
आणि,0.023777724023157
या,0.01939920725196256
व,0.01636145117577463
हे,0.014766646395334409
आहेत,0.012012486928364166
होते,0.011706740170616382
हा,0.010311123444780466
एक,0.010240829582422378
ते,0.009334723185993947
ही,0.008981603974131586
मराठी,0.008322475847898839
नाही,0.008020313694209543
असे,0.008006158454024196
मध्ये,0.007617010769642957
केले,0.007375828162629121
केली,0.007303023334204792
म्हणून,0.007097796022977767
केला,0.007005914150601337
त्यांनी,0.00697409328751806
होता,0.006934845478995486
अनेक,0.006893691075658058
तर,0.006818557306486811
होती,0.00678845701607168
काही,0.0065688872718797425
जाते,0.006144159680379804
रोजी,0.00606515973940075
यांनी,0.005812173148924613
की,0.005658712715938175
भारतीय,0.005621148076894896
झाले,0.005603415666124183
किंवा,0.005597883270835353
पण,0.005536529473205803
त्या,0.005486100787180143
त्यांच्या,0.0054092830433353205
येथे,0.005239354548638784
आंबेडकर,0.005224990291502627
झाला,0.005140305308982611
झाली,0.005055394930932361
करून,0.0050374028821981946
संत,0.004861858963132151
त्यांना,0.004839905517984792
म्हणजे,0.004288778277656695
महाराष्ट्र,0.004255854274254989
मंदिर,0.004230750731041132
आले,0.004193515000325771
तो,0.004190052692880926
असते,0.0041167610849559685
सुरू,0.0041095604318910715
आपल्या,0.004098789481545858
